ID	Tytuł	Priorytet	Warunki wstępne	Dane testowe	Kroki	Oczekiwany rezultat	Wynik	ID buga	Notatki
KWAL-11	Zaznaczenie wielu opcji w tej samej grupie filtrów rozszerza wyniki (logika OR)	P2 · Wysoki	Strona wyszukiwarki załadowana.	Dwa filtry w grupie Dziedzina: "Zdrowie i uroda (2281)" + "Sport i rekreacja (490)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Dziedzina"" zaznacz checkbox ""Zdrowie i uroda"" i kliknij ""Szukaj""; zanotuj licznik
3) Zaznacz dodatkowo checkbox ""Sport i rekreacja""
4) Kliknij ""Szukaj"""	Licznik "Znaleziono" po zaznaczeniu obu filtrów jest większy niż po zaznaczeniu samego "Zdrowie i uroda" (logika OR w obrębie jednej grupy).	PASS	-	Zdrowie i uroda alone = 2281, + Sport i rekreacja = 2748 (2748 > 2281, OR działa).
KWAL-12	Filtry z różnych grup zawężają wyniki wspólnie (logika AND)	P2 · Wysoki	Strona wyszukiwarki załadowana.	Filtry z 2 grup: Dziedzina "Zdrowie i uroda (2281)" + Poziom Polskiej Ramy Kwalifikacji "PRK 5 (351)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Dziedzina"" zaznacz ""Zdrowie i uroda""
3) W sekcji ""Filtry"" > ""Poziom Polskiej Ramy Kwalifikacji (PRK)"" zaznacz ""PRK 5""
4) Kliknij ""Szukaj"""	Licznik "Znaleziono" po zaznaczeniu filtrów z obu grup jest mniejszy niż każdy z liczników pojedynczych grup (logika AND między grupami filtrów).	PASS	-	Zdrowie i uroda (2281) + PRK 5 (351) = 72 (< 351, AND działa).
KWAL-13	Filtr Baza Usług Rozwojowych (BUR) zawęża listę do kwalifikacji dostępnych w BUR	P1 · Krytyczny	Strona wyszukiwarki załadowana z pełną listą.	Filtr używany w krokach: "Pokaż kwalifikacje powiązane z usługami w BUR"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Baza Usług Rozwojowych (BUR)"" zaznacz checkbox ""Pokaż kwalifikacje powiązane z usługami w BUR""
3) Kliknij ""Szukaj"""	Licznik "Znaleziono" jest znacznie mniejszy niż początkowa łączna liczba kwalifikacji; wyświetlana lista zawiera tylko kwalifikacje powiązane z BUR.	PASS	-	20778 → 71 po zaznaczeniu.
KWAL-14	Filtr Branża dla kwalifikacji ze szkolnictwa branżowego zawęża listę	P1 · Krytyczny	Strona wyszukiwarki załadowana.	Filtr używany w krokach: "budowlana (BUD) (63)"; alternatywy manualne: "audiowizualna (AUD) (19)", "chemiczna i ochrony środowiska (CHM) (17)", "drzewno-meblarska (DRM) (19)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Branża dla kwalifikacji ze szkolnictwa branżowego"" zaznacz checkbox ""budowlana (BUD)""
3) Kliknij ""Szukaj"""	Licznik "Znaleziono" pokazuje wartość równą liczbie przy filtrze (63) i znacznie mniejszą niż początkowa łączna liczba.	PASS	-	Znaleziono: 63 (dokładnie zgodne z liczbą przy filtrze).
KWAL-15	Filtr Poziom Polskiej Ramy Kwalifikacji zawęża listę do wybranego poziomu	P1 · Krytyczny	Strona wyszukiwarki załadowana.	Poziom używany w krokach: "PRK 5 (351)"; alternatywy manualne: PRK 1-8	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Poziom Polskiej Ramy Kwalifikacji (PRK)"" zaznacz checkbox ""PRK 5""
3) Kliknij ""Szukaj"""	Licznik "Znaleziono" pokazuje wartość równą liczbie przy filtrze (351); wszystkie widoczne kafelki mają oznaczenie PRK 5.	PASS	-	Znaleziono: 351, wszystkie widoczne kafelki mają wskaźnik PRK5.
KWAL-16	Przycisk "Wyczyść wszystkie" resetuje wszystkie zaznaczone filtry	P2 · Wysoki	Strona wyszukiwarki z zaznaczonym co najmniej jednym filtrem.	Filtr do zaznaczenia i zresetowania: Poziom PRK "PRK 5"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) W sekcji ""Filtry"" > ""Poziom Polskiej Ramy Kwalifikacji (PRK)"" zaznacz ""PRK 5"" i kliknij ""Szukaj""
3) W sekcji ""Aktywne filtry"" nad panelem filtrów kliknij ""Wyczyść wszystkie"""	Wszystkie zaznaczone filtry są odznaczone, sekcja "Aktywne filtry" znika, licznik "Znaleziono" wraca do pełnej wartości (~20778).	PASS	-	Reset działa: 351 → 20778, checked count 1 → 0. Uwaga poza scope: przycisk "Pomiń filtry" w panelu filtrów to a11y skip link (nie reset), a "Wyczyść wszystkie" nad panelem filtrów to właściwy reset. Nie wpływa na wynik tego case'a — warto zgłosić osobnym ticketem zmianę nazewnictwa dla większej intuicyjności.
KWAL-17	Kliknięcie "Pobierz" uruchamia pobranie pliku Excel z zawężoną listą	P1 · Krytyczny	Strona wyszukiwarki z zawężoną listą przez filtr.	Filtr używany do zawężenia: Dziedzina "Zdrowie i uroda (2281)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Zaznacz filtr Dziedzina ""Zdrowie i uroda"" i kliknij ""Szukaj""
3) Kliknij przycisk ""Pobierz"" nad listą wyników"	Przeglądarka rozpoczyna pobieranie pliku o nazwie kończącej się rozszerzeniem .xlsx; pobrany plik można otworzyć w Excelu bez błędu formatu.	PASS	-	Pobrany plik: lista_kwalifikacji.xlsx, otwiera się poprawnie.
KWAL-18	Pobrany plik odzwierciedla aktualnie zawężoną listę wyników	P2 · Wysoki	Strona wyszukiwarki po zawężeniu do konkretnej dziedziny.	Filtr używany do zawężenia: Dziedzina "Sport i rekreacja (490)"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Zaznacz filtr Dziedzina ""Sport i rekreacja"" i kliknij ""Szukaj""
3) Zanotuj licznik ""Znaleziono""
4) Kliknij ""Pobierz"" i otwórz pobrany plik .xlsx"	Liczba wierszy z danymi w pobranym pliku Excel (bez nagłówka) jest zgodna z licznikiem "Znaleziono" widocznym w UI po kroku 3.	PASS	-	Znaleziono w UI: 490; xlsx: 491 rows (1 header + 490 data).
KWAL-19	Kliknięcie "Pobierz" na pełnej niezawężonej liście uruchamia pobranie	P2 · Wysoki	Strona wyszukiwarki z domyślną pełną listą (żaden filtr niezaznaczony).	Brak filtrów; oczekiwana liczba rekordów: ~20778	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Bez zaznaczania filtrów kliknij ""Pobierz"" nad listą wyników"	Rozpoczyna się pobieranie pliku .xlsx; proces kończy się bez błędu i pobrany plik zawiera nagłówek + pełny zestaw rekordów.	PASS	-	Pełna lista: 20778 rekordów + 1 header = 20779 wierszy, pobieranie kończy się bez błędu.
KWAL-20	Przełączenie na widok tabeli zmienia układ wyników z kafelków na tabelę	P1 · Krytyczny	Strona wyszukiwarki załadowana w widoku kafelków (domyślnym).	Brak wymaganej frazy — test na domyślnej pełnej liście	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Kliknij przycisk ""Przełącz na widok tabeli"" nad listą wyników"	Lista wyników jest wyświetlana w układzie tabeli (wiersze z kolumnami) zamiast siatki kafelków; przycisk "Przełącz na widok kafelków" staje się aktywny.	PASS	-	Tabela wyrenderowana: 21 wierszy (header + 20 data), brak kafelków w DOM.
KWAL-21	Powrót do widoku kafelków zachowuje ten sam zestaw wyników	P2 · Wysoki	Strona wyszukiwarki po przełączeniu na widok tabeli.	Brak wymaganej frazy — na pełnej liście	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Kliknij ""Przełącz na widok tabeli""
3) Kliknij ""Przełącz na widok kafelków"""	Lista wraca do układu kafelków, licznik "Znaleziono" pozostaje niezmieniony, kafelki są renderowane.	PASS	-	Powrót do kafelków: brak tabeli, 15 kafelków widocznych, licznik 20778 zachowany.
KWAL-22	Kliknięcie "Więcej kwalifikacji" dopisuje kolejną porcję pozycji do listy	P1 · Krytyczny	Strona wyszukiwarki załadowana z domyślną porcją 15 wyników.	Domyślna wielkość porcji z URL: offset=0, limit=15	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Policz kafelki na liście (powinno być 15)
3) Przewiń na dół listy i kliknij przycisk ""Więcej kwalifikacji""
4) Policz kafelki ponownie"	Po kliknięciu na liście widocznych jest 30 kafelków (poprzednie 15 + kolejne 15); poprzednie kafelki pozostają widoczne w tej samej kolejności.	FAIL	KWAL-BR-02	Po pierwszym kliknięciu: 24 kafelki (dodano 9 zamiast 15), URL zmienia się na offset=24. Po drugim kliknięciu: 33 kafelki (dodano kolejne 9). Kolejne kliknięcia stabilnie dodają po 9. Rozmiar porcji nie zgodny z parametrem limit=15 w URL.
KWAL-23	Dostępność WCAG 2.2 AA — czytelność treści	P1 · Krytyczny	Zainstalowane axe DevTools (Chrome/Firefox) i włączona funkcja "Rendering > Emulate vision deficiencies" w Chrome DevTools.	Sekcje do sprawdzenia: pole wyszukiwania, panel filtrów, kafelki wyników, licznik "Znaleziono"; progi WCAG: kontrast tekstu ≥ 4.5:1, kontrast UI ≥ 3:1, rozmiar okna 320×256, powiększenie 200%	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Uruchom axe DevTools i sprawdź kontrast tekstu (min 4.5:1) oraz elementów UI (min 3:1) w polu wyszukiwania, filtrach i kafelkach
3) Zmień rozmiar okna przeglądarki na 320×256 — sprawdź czy nie ma poziomego paska przewijania i czy cała treść jest dostępna
4) Ustaw powiększenie przeglądarki na 200% (Cmd/Ctrl + kilkukrotnie) — sprawdź czy tekst nie jest przycięty i UI nadal używalne
5) W Chrome DevTools > Rendering > Emulate vision deficiencies wybierz ""Achromatopsia"" — sprawdź czy stany filtrów i wybranej kategorii są rozpoznawalne bez koloru"	Wszystkie sprawdzane obszary spełniają WCAG 2.2 AA: kontrasty ≥ wymagane, brak poziomego paska przewijania na 320×256, brak przyciętego tekstu na 200%, informacje nie są przekazywane wyłącznie kolorem.	NOT RUN	-	Wymaga manualnej weryfikacji przez testera (~30 min). Portal .gov.pl podlega Ustawie o dostępności cyfrowej — WCAG 2.2 AA to wymóg prawny.
KWAL-24	Dostępność WCAG 2.2 AA — obsługa z klawiatury	P1 · Krytyczny	Fizyczna klawiatura, mysz odłączona lub trackpad wyłączony.	Elementy do sprawdzenia: pole wyszukiwania, dropdown Kategoria, checkboxy filtrów, przyciski "Szukaj", "Wyczyść wszystkie", "Pobierz", przełączniki widoku, "Więcej kwalifikacji", kafelki wyników	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Bez użycia myszy przejdź Tab-em przez wszystkie interaktywne elementy: pole wyszukiwania, dropdown Kategoria, checkbox aktywne kwalifikacje, checkboxy filtrów, ""Szukaj"", ""Wyczyść wszystkie"", ""Pobierz"", przełączniki widoku, sortowanie, kafelek, ""Więcej kwalifikacji""
3) Sprawdź czy każdy element ma widoczny fokus (obramowanie/ring)
4) Sprawdź czy kolejność Tab odpowiada wizualnej kolejności (od góry do dołu, od lewej do prawej)
5) Wykonaj pełny przepływ wyszukiwania (wpisanie frazy → wybór filtru → Szukaj → otwarcie kafelka) używając tylko klawiatury
6) Zmierz rozmiar małych przycisków ikonowych (X do usunięcia filtra, ikony przełącznika widoku) — muszą być ≥ 24×24 CSS px"	Wszystkie interaktywne elementy są dostępne z klawiatury, mają widoczny fokus, kolejność Tab jest logiczna, brak pułapek klawiatury, pełny przepływ wyszukiwania możliwy bez myszy, wszystkie przyciski ikonowe ≥ 24×24 CSS px.	NOT RUN	-	Wymaga manualnej weryfikacji przez testera (~30 min).
KWAL-25	Dostępność WCAG 2.2 AA — zrozumiałość i technologie wspomagające	P1 · Krytyczny	VoiceOver włączony (macOS: Cmd+F5) lub NVDA (Windows).	Elementy do sprawdzenia: pole wyszukiwania, walidacja formularza, komunikaty błędu, ogłoszenia zmian listy wyników (aria-live), linki pomocy w stopce	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/ z włączonym VoiceOver lub NVDA
2) Nawiguj przez formularz wyszukiwania — sprawdź czy każde pole i przycisk mają etykietę odczytywaną przez czytnik
3) Zaznacz filtr, kliknij ""Szukaj"" i sprawdź czy zmiana liczby wyników jest ogłaszana głosowo (aria-live region)
4) Sprawdź czy linki pomocy/wsparcia (np. FAQ, kontakt) są w tym samym miejscu na różnych podstronach
5) Sprawdź czy formularz nie prosi o tę samą informację dwa razy w tej samej sesji"	Wszystkie pola mają etykiety odczytywane przez czytnik ekranu, zmiany liczby wyników są ogłaszane głosowo, linki pomocy są w spójnym miejscu na wszystkich podstronach, formularz nie duplikuje pytań.	NOT RUN	-	Wymaga manualnej weryfikacji przez testera z czytnikiem ekranu (~40 min).
KWAL-26	Responsywność — layout na 3 breakpointach desktop	P1 · Krytyczny	DevTools otwarte z opcją "Toggle device toolbar".	Breakpointy: 1280×720 (mały laptop), 1440×900 (MBP default), 1920×1080 (FHD monitor)	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Ustaw rozmiar okna na 1280×720 (DevTools > Toggle device toolbar) — sprawdź czy nie ma poziomego paska przewijania i czy widoczne są bez ucinania: pole wyszukiwania, dropdown Kategoria, panel filtrów, siatka kafelków, przycisk ""Pobierz"", przycisk ""Więcej kwalifikacji""
3) Ustaw okno na 1440×900 — sprawdź to samo
4) Ustaw okno na 1920×1080 — sprawdź to samo"	Na wszystkich 3 breakpointach brak poziomego paska przewijania na dole okna, core UI (wyszukiwarka, filtry, siatka kafelków, "Pobierz", "Więcej kwalifikacji") widoczne bez ucinania i użyteczne.	PASS	-	Wszystkie 3 breakpointy bez horizontal overflow (scrollW == clientW): 1280/1265, 1440/1425, 1920/1905.
KWAL-27	Responsywność — layout na tablecie 768×1024	P1 · Krytyczny	DevTools otwarte z opcją "Toggle device toolbar".	Breakpoint: 768×1024 (iPad portrait); fraza używana w kroku 5: "Kucharz"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Ustaw rozmiar okna na 768×1024
3) Sprawdź czy nie ma poziomego paska przewijania na dole okna
4) Sprawdź czy pole wyszukiwania, filtry, siatka kafelków i przycisk ""Więcej kwalifikacji"" są widoczne i użyteczne
5) Wykonaj wyszukiwanie: wpisz frazę ""Kucharz"" w pole wyszukiwania i kliknij ""Szukaj"""	Brak poziomego paska przewijania, pole wyszukiwania i filtry dostępne (mogą być rozwijalne), pełny przepływ wyszukiwania działa (licznik odpowiada zapytaniu).	PASS	-	Brak overflow (scrollW=clientW=753). Wyszukiwanie Kucharz zwraca 12 wyników.
KWAL-28	Responsywność — layout na telefonie 375×812	P1 · Krytyczny	DevTools otwarte z opcją "Toggle device toolbar".	Breakpoint: 375×812 (iPhone base); fraza używana w kroku 5: "Kucharz"	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-kwalifikacji/
2) Ustaw rozmiar okna na 375×812
3) Sprawdź czy nie ma poziomego paska przewijania na dole okna
4) Sprawdź czy pole wyszukiwania, filtry i lista wyników są dostępne (mogą być rozwijalne)
5) Wykonaj wyszukiwanie: wpisz frazę ""Kucharz"" w pole wyszukiwania i kliknij ""Szukaj"""	Brak poziomego paska przewijania, wszystkie kluczowe elementy dostępne, pełny przepływ wyszukiwania działa.	PASS	-	Brak overflow (scrollW=clientW=360, layout dopasowany do min-width). Wyszukiwanie Kucharz zwraca 12 wyników.
